"","lat","lon","species"
"1",36.908195,25.970637,"Siganus luridus"
"2",36.90741,25.974995,"Siganus luridus"
"3",27.248399,33.848638,"Siganus luridus"
"4",36.525634,30.552964,"Siganus luridus"
"5",36.247732,29.325097,"Siganus luridus"
"6",37.439972,25.420502,"Siganus luridus"
"7",-4.659483,39.384979,"Siganus luridus"
"8",-4.622145,55.496647,"Siganus luridus"
"9",26.844322,34.001836,"Siganus luridus"
"10",26.843476,34.003185,"Siganus luridus"
"11",43.58484,7.14844,"Siganus luridus"
"12",-4.649825,39.388982,"Siganus luridus"
"13",27.073246,33.890591,"Siganus luridus"
"14",-21.31902,35.50786,"Siganus luridus"
"15",-23.8176,35.40329,"Siganus luridus"
"16",35.014628,25.848663,"Siganus luridus"
"17",-21.99125,35.38154,"Siganus luridus"
"18",-21.66001,35.42359,"Siganus luridus"
"20",27.847548,34.308758,"Siganus luridus"
"22",26.985723,33.896599,"Siganus luridus"
"23",26.572993,34.031195,"Siganus luridus"
"26",-18.609,36.476,"Siganus luridus"
"31",35.573826,23.77714,"Siganus luridus"
"32",29.5012,34.917,"Siganus luridus"
"33",33.0899,35.095,"Siganus luridus"
"34",33.044,35.0828,"Siganus luridus"
"38",33.0688,35.0935,"Siganus luridus"
"39",33.0889,35.0966,"Siganus luridus"
"51",32.835,34.9734,"Siganus luridus"
"53",37.6699,23.9437,"Siganus luridus"
"55",24.709469,35.090527,"Siganus luridus"
"58",36.2,28.13,"Siganus luridus"
"63",-21.38136,55.60133,"Siganus luridus"
"64",-20.92804,55.41329,"Siganus luridus"
"65",-21.11186,55.79642,"Siganus luridus"
"69",16.792972,42.19725,"Siganus luridus"
"74",-17.759,37.195,"Siganus luridus"
"81",20.9,70.37,"Siganus luridus"
"82",-23.8527,35.56368,"Siganus luridus"
"84",-21.38053,55.5049,"Siganus luridus"
"88",-21.37964,55.40847,"Siganus luridus"
"94",27.915649,34.357655,"Siganus luridus"
"108",32.875,34.962,"Siganus luridus"
"114",-17.309,38.094,"Siganus luridus"
"118",-4.272333,39.59745,"Siganus luridus"
"133",24.67,35.1332,"Siganus luridus"
"136",25.0712,34.938,"Siganus luridus"
"137",24.2199,35.6118,"Siganus luridus"
"139",-21.20219,55.79569,"Siganus luridus"
"140",-21.29252,55.79496,"Siganus luridus"
"164",-18.838,36.336,"Siganus luridus"
"166",32.826,34.888,"Siganus luridus"
"175",20.6946,-156.451,"Siganus luridus"
"182",-4.29865,39.586183,"Siganus luridus"
"183",27.875046,34.322662,"Siganus luridus"
"186",-13.48,48.24,"Siganus luridus"
"188",-17.04,38.906,"Siganus luridus"
"189",43.496,5.311,"Siganus luridus"
"191",-23.812333,35.542467,"Siganus luridus"
"192",-27.035933,32.868567,"Siganus luridus"
"194",32.912,35.013,"Siganus luridus"
"196",-20.508333,57.575001,"Siganus luridus"
"197",-13.391666,48.330555,"Siganus luridus"
"198",29.549999,34.950001,"Siganus luridus"
"201",-26.9,32.883335,"Siganus luridus"
"203",-20,55,"Siganus luridus"
"205",-12.361111,43.6625,"Siganus luridus"
"211",29.5,34.95,"Siganus luridus"
"218",-20.299999,57.583332,"Siganus luridus"
"219",29.3991,34.8111,"Siganus luridus"
"224",15.5083,39.9,"Siganus luridus"
"232",-23.333,43.5,"Siganus luridus"
"233",27.2708,33.7917,"Siganus luridus"
"234",27.2778,33.7806,"Siganus luridus"
"235",27.2794,33.7736,"Siganus luridus"
"236",27.2897,33.8144,"Siganus luridus"
"237",27.2736,33.7889,"Siganus luridus"
"244",27.2758,33.7889,"Siganus luridus"
"246",25.1097,63.801,"Siganus luridus"
"249",27.25,33.816667,"Siganus luridus"
"250",22.249444,114.147778,"Siganus luridus"
"251",32.826087,34.991828,"Siganus luridus"
"254",-9.433333,46.333332,"Siganus luridus"
"255",-3.2,40.116665,"Siganus luridus"
"256",-4.65,39.383335,"Siganus luridus"
"257",-12.333333,40.616665,"Siganus luridus"
"259",-15.033334,40.650002,"Siganus luridus"
"260",30.05,31.25,"Siganus luridus"
"269",15.617,39.467,"Siganus luridus"
"272",33.883333,35.5,"Siganus luridus"
"276",33.901773,35.473856,"Siganus luridus"
"278",37.1,25.383333,"Siganus luridus"
"279",29.516667,35,"Siganus luridus"
"281",29.55,34.95,"Siganus luridus"
"283",-20.615278,55.230556,"Siganus luridus"
"284",29.967,32.55,"Siganus luridus"
"286",-6.167,39.167,"Siganus luridus"
"299",15.633333,39.466667,"Siganus luridus"
"19",36.908153,25.970368,"Siganus rivulatus"
"27",36.90741,25.974995,"Siganus rivulatus"
"310",29.497075,34.91089,"Siganus rivulatus"
"42",35.017687,25.857465,"Siganus rivulatus"
"52",36.257605,28.14374,"Siganus rivulatus"
"61",35.51829,24.019289,"Siganus rivulatus"
"71",35.017555,25.860958,"Siganus rivulatus"
"83",26.985723,33.896599,"Siganus rivulatus"
"104",33.044,35.0828,"Siganus rivulatus"
"111",33.0889,35.0966,"Siganus rivulatus"
"131",33.0899,35.095,"Siganus rivulatus"
"161",29.5012,34.917,"Siganus rivulatus"
"21",33.0688,35.0935,"Siganus rivulatus"
"24",32.835,34.9734,"Siganus rivulatus"
"25",24.709469,35.090527,"Siganus rivulatus"
"29",36.2,28.13,"Siganus rivulatus"
"311",16.484983,41.94855,"Siganus rivulatus"
"321",28.06,35.17,"Siganus rivulatus"
"331",16.893683,42.393883,"Siganus rivulatus"
"341",27.915649,34.357655,"Siganus rivulatus"
"35",32.859,35.002,"Siganus rivulatus"
"36",32.86,35,"Siganus rivulatus"
"37",31.743,34.569,"Siganus rivulatus"
"40",31.799,34.608,"Siganus rivulatus"
"41",26.165407,34.242859,"Siganus rivulatus"
"45",32.877,34.961,"Siganus rivulatus"
"46",30.6507,32.326,"Siganus rivulatus"
"551",37.038333,27.429167,"Siganus rivulatus"
"57",32.816666,35.016666,"Siganus rivulatus"
"60",27.184645,33.811085,"Siganus rivulatus"
"62",-6.716667,39.283333,"Siganus rivulatus"
"631",29.516667,35,"Siganus rivulatus"
"651",-27.25,153,"Siganus rivulatus"
"67",-40.275,146.617365,"Siganus rivulatus"
"68",-40.34278,146.791665,"Siganus rivulatus"
"691",-40.343195,146.85861,"Siganus rivulatus"
"70",29.5,34.95,"Siganus rivulatus"
"72",-3.296667,127.675,"Siganus rivulatus"
"73",-3.246667,127.633333,"Siganus rivulatus"
"79",15.67,40.38,"Siganus rivulatus"
"80",-3.241667,40.141667,"Siganus rivulatus"
"811",29.3991,34.8111,"Siganus rivulatus"
"86",15.5419,40,"Siganus rivulatus"
"87",15.5083,39.9,"Siganus rivulatus"
"97",29.55,34.95,"Siganus rivulatus"
"100",-39.32597,144.509445,"Siganus rivulatus"
"101",27.2778,33.7806,"Siganus rivulatus"
"102",27.2708,33.7917,"Siganus rivulatus"
"103",27.2794,33.7736,"Siganus rivulatus"
"1141",33.904992,35.54034,"Siganus rivulatus"
"129",27.2767,33.7765,"Siganus rivulatus"
"1331",16.8,41.9,"Siganus rivulatus"
"141",33.916673,35.595156,"Siganus rivulatus"
"151",32.826087,34.991828,"Siganus rivulatus"
"153",26.03,50.08,"Siganus rivulatus"
"154",26.65,50.02,"Siganus rivulatus"
"155",-14.216666,40.766666,"Siganus rivulatus"
"156",25.92,50.27,"Siganus rivulatus"
"169",-14.266667,-170.683333,"Siganus rivulatus"
"171",-9.5222,160.48932,"Siganus rivulatus"
"172",26.1,34.283333,"Siganus rivulatus"
"173",28.25,33.75,"Siganus rivulatus"
"184",-28.801215,32.060392,"Siganus rivulatus"
"195",29.549999,34.950001,"Siganus rivulatus"
"1961",-32.723501,27.485346,"Siganus rivulatus"
"210",-15.656388,136.817973,"Siganus rivulatus"
"213",29.456,34.9775,"Siganus rivulatus"
"215",-32.24969,28.902774,"Siganus rivulatus"
"2191",29.549861,34.954661,"Siganus rivulatus"
"220",27.233333,33.833333,"Siganus rivulatus"
